Entity Name,Address,City,Zip Code,Website
Cloud Nine Legal Cannabis Dispensary,305 Saw Mill River Rd,Yonkers,10701,cloudninelcd.com
Cloudfather,6850 Main St, Suite 1,Williamsville,14221,thecloudfather.us
Clouditude Dispensary,4034 Hylan Blvd,Staten Island,10308,clouditudedispensary.com
Collegetown Dispensary,105 Dryden Rd,Ithaca,14850,collegetowndispensary.com
Command Cannabis Dispensary,3871 S Park Ave,Blasdell,14219,commandcannabiswny.com
CONBUD Bronx (Summit Canna),2412 Third Ave,Bronx,10454,conbudbx.com
CONBUD by Yankee Stadium,898 Gerard Ave,Bronx,10452,conbud.com
CONBUD LLC,85 Delancey St,New York,10002,conbud.com
Coney Island Cannabis,875 Neptune Ave,Brooklyn,11224,coneyislandcannabisny.com
Cotton Mouth Dispensary,439 Court St,Binghamton,13904,cottonmouth-dispensary.com
County Road Cannabis,1326 CR-12,New Hampton,10958,countyrdcannabis.com
Crush Dispensary,45 Grove Ave,Albany,12208,crushdispensary.com
Culture House,958 Sixth Ave,New York,10001,culturehousenyc.com
Curaleaf NY, LLC,8 North Plank Rd,Newburgh,12550,Curaleaf.com/dispensary/new-york
Curaleaf Plattsburgh,345 Cornelia St,Plattsburgh,12901,curaleaf.com
Curaleaf Queens,107-18 70th Rd,Forest Hills,11375,curaleaf.com
Cussin's Cannabis,2075 Central Ave,Schenectady,12304,cussinscanna.com
Dagga LLC (dba Just A Little Higher Upper West Side),157 West 72nd St,New York,10023,justalittlehigher.com
Dagmar Cannabis,412 W Broadway,New York,10012,dagmarcannabis.com
Dank 716 LLC,501 Main St,Buffalo,14203,716dank.com
Dansville Dispesnary,9483 Wheeler Foster Rd, Suite C,Dansville,14437,dansvilledispensary.com
Dark Horse Cannabis Dispensary,15 Centre St,Albany,12207,darkhorse-ny.com
Dazed,33 Union Sq. W,New York,10003,dazed.fun
Devil's Lettuce,650 Orchard Park Rd,West Seneca,14224,devilslettuce.net
Diamond Tree Dispensary,2700 Erie Blvd E,Syracuse,13224,diamondtreedispensary.com
DISPO Cannabis Club,588 4th Ave,New York,11215,dispostore.com
Domes Dispensary,268 Forest Hill Dr,Kingston,12401,domesdispensary.com
Dosha Farms LLC (dba Dosha),76 Main St,Oneonta,13820,doshafarms.com
Dream Daze,5100 Transit Rd,Depew,14034,thedreamdaze.com
Dutchess Roots,2615 South Rd,Poughkeepsie,12601,dutchessroots.com
East Leaf Dispensary,2442 Clinton St,Cheektowaga,14224,eastleafdispensary.com
Electric City Cannabis,1354 Lower Broadway,Schenectady,12306,electriccitycannabisco.com
Elevate,127 S Terrace Ave,Mt Vernon,10550,elevatecannabisny.com
Elevate Soho Cannabis,481 Broadway,New York,10013,elevatesohocannabis.com
Elevation HQ NY,701 8th Ave,New York,10036,elevationhqnyc.com
Enflor,3264 85th St,East Elmhurst,11370,enflor.com
Erudito Cannabis Boutique,120 Union St,Brooklyn,11231,erudito.nyc
Etain Kingston,445 State Route 28,Kingston,12401,etain.com
Etain Manhattan,242 East 58th St,New York,10022,etain.com
Etain,75 Mamaroneck Ave,White Plains,10601,etainhealth.com
Ether,5100 Genesee St,Buffalo,14225,ethernewyork.com
Evergreen Retail,51 N Main St,Brockport,14420,evergreennyretail.com
Evexia Cannabis,217 Guideboard Rd,Halfmoon,12065,evexiacannabis.com
Exit 31 Exotic,255 Genesse St,Utica,13501,uticacannabisco.com
Exscape INC (dba Sacred Bloom),1308 Vestal Pkwy E, 1st Floor, Set D,Vestal,13850,sacred-bloom.com
Farmers Choice Dispensary,18 Westage Dr,Fishkill,12524,farmerschoicedispensary.com
FingerLakes Cannabis Co,5 Railroad St,Victor,14564,flxcannaco.com
Fiorello Pharmaceuticals, Inc. (dba RISE),556 Jefferson Rd,Rochester,14623,risecannabis.com/dispensary-locations/new-york
Fireleaf,2102 Ralph Ave,Brooklyn,11234,fireleafny.com
Flor de Fred,9605 Liberty Ave,Ozone Park,11417,flordefred.com
Flower City Dispensary,8053 Pittsford Victor Rd,Victor,14564,nyflowercitydispensary.com
Flower Power Dispensers,22 W 66th St,New York,10023,flowerpowerdispensers.com
FlynnStoned Binghamton,1143 Upper Front St,Binghamton,13905,flynnstoned.com
FlynnStoned Brooklyn,807 Manhattan Ave,Brooklyn,11222,flynnstoned.com
FlynnStoned Chelsea,206 8th Ave,New York,10011,flynnstoned.com
Flynnstoned Corporation,219 Walton St,Syracuse,13202,flynnstoned.com
FlynnStoned Oswego,143 George St,Oswego,13126,flynnstoned.com
FlynnStoned Rochester,125 State St,Rochester,14614,flynnstoned.com
Forever 420,1118 Pennsylvania Ave,Brooklyn,11207,forever420ny.com
Frass Box,3633 Kingsbridge Ave,Bronx,10463,frassboxcannabis.com
Freshly Baked NYC 2,2375 Arthur Ave,Bronx,10458,freshlybaked.nyc
