Entity Name,Address,City,Zip Code,Website
Sweetlife,1662 First Ave,New York,10028,sweetlife.nyc
Terp Bros,3610 Ditmars Blvd,Queens,11105,terpbrosnyc.com
Terrapin Greens LLC (dba The Travel Agency Fifth Avenue),587 Fifth Ave,New York,10017,thetravelagency.co
Tetra East Harlem,2152 3rd Ave,New York,10035,Website coming soon
The Alchemy,302 8th Ave,New York,10001,thealchemy.nyc
The Bakery Cannabis Dispensary,1099 Loudon Rd,Cohoes,12047,518bakery.com
The Cannabis Place,74-03 Metropolitan Ave,Middle Village,11379,thecannabisplace.org
The Cannabis Store,1936 S Park Ave,Buffalo,14220,tcsbflo.com
The Corner House,1708 Trumansburg Rd,Ithaca,14850,cornerhousecannabis.com
The Coughie Shop,12044 E. Main St,Wolcott,14590,Website coming soon
The Dabbery Hashery**,1051 College Ave,Elmira,14901,dabberhashery.com
The Emerald Dispensary,85 Suydam St,Brooklyn,11221,theemeralddispensary.com
The Emerald Dispensary Manhattan,1190 Lexington Ave,New York,10028,emeralddispensary.nyc
The Firehaus NY,7479 US Highway 11,Potsdam,13676,thefirehausny.com
The Flowery Brooklyn,692 Grand St,Brooklyn,11211,thefloweryny.com
The Flowery Chinatown,70 Canal St,New York,10002,thefloweryny.com
The Flowery East Village,101 E 10th St,New York,10003,thefloweryny.com
The Flowery Queens,63-54 108th St,Forest Hills,11375,thefloweryny.com
The Flowery Staten Island,3022 Veterans Rd W,Staten Island,10309,thefloweryny.com
The Flowery Upper West Side,2465 Broadway,New York,10025,thefloweryny.com
The Greenhouse Cannabis Dispensary,514 Congress St,Troy,12180,thegreenhouseny.com
The Herb Cave,519 State Route 3,Plattsburgh,12901,theherbcave.com
The Herbal Care,1412 Lexington Ave,New York,10128,thctheherbalcare.com
The Higher Co.,123 E Willow St,Syracuse,13202,thehigherco420.com
The Highest Peak, LLC,25 Market St,Potsdam,13676,highestpeakny.com
The Highly Connected Dispensary,423 Franklin St,Ithaca,14850,thehighlyconnected.com
The Joint,904 Elmwood Ave,Buffalo,14222,thejointcannabisdispensary.com
The Kokoro Way Cannabis,2454 Elmwood Ave,Kenmore,14217,thekokoroway.com
The People's Joint,501 State St,Schenectady,12305,thepeoplesjoint.com
The Phinest Buds,576 Dick Rd, Ste 10,Depew,14043,thephinestbuds.com
The Plant,2595 Central Park Ave,Yonkers,10710,fanoftheplant.com
The Plug,428 Rogers Ave,Brooklyn,11225,theplugny.com
The Shady Grove Dispensary,3047 W Henrietta Rd,Henrietta,14623,Website coming soon
The Spot Dispensary,154 Vanderbilt Ave,Brooklyn,11205,thespotdispensary.com
The Station Beacon,463 Main St,Beacon,12508,thestationbeacon.com
The THC Shop,144-07 243rd St,Rosedale,11422,ourthcshop.com
The Travel Agency Downtown Brooklyn,118 Flatbush Ave,Brooklyn,11217,thetravelagency.co
The Travel Agency SoHo,598 Broadway,New York,10012,thetravelagency.co
The Travel Agency Union Square,835 Broadway,New York,10003,thetravelagency.co
The Village Green Dispensary,New Hartford Shopping Ctr Suite 41,New Hartford,13413,villagegreendispensary.com
The Weed Shoppe Inc,4906 Arthur Kill Rd,Staten Island,10309,theweedshoppe.co
The Weedery Micro Dispensary**,3 Water Street,New Paltz,12561,theherbalconfectionery.com
Third Rock Cannabis,131 Saratoga Ave, Unit 7,South Glens Falls,12803,thirdrockcannabis.com
THTree,12187 Route 9W,West Coxsackie,12192,thtreeny.com
Tiki Leaves,1511 Neptune Ave,Brooklyn,11224,tikileaves.com
TJ's Cannabis Corp.,4205 Long Branch Rd, Ste 5,Liverpool,13090,tjscannabisco.com
Toke Lane,1727 Genesee St,Buffalo,14211,tokelane.com
Token Cannabis Dispensary,9229 Queens Blvd, CU-9,Rego Park,11374,tokencannabisnyc.com
Torches NYC,12 East 42nd St,New York,10017,torches.nyc
Township Valley Farm*,393 Main St, Unit #101,Oneonta,13820,Website coming soon
Transcend Wellness,289 Oakwood Ave,Troy,12182,transcendwps.com
TreeHead Culture,665 North French Rd,Amherst,14228,treeheadculture.com
Treehouse Cannabis,28 Route 59,Nyack,10960,treehousecannabis.com
Trends Dispensaries, LLC,27-25 44th Dr,Long Island City,11101,trendslic.com
Twenty8Gramz,2201 Avenue U,Brooklyn,11229,twenty8gramz.com
Twisted Cannabis FLX,501 Exchange St,Geneva,14456,twistedcannabisflx.com
Twisted Vibration,301 Broadway,Brooklyn,11211,twistedvibration.com
Two Buds Dispensary,696 East 241st St,Bronx,10470,twobudsdispensary.nyc
Union Chill,34 W Pulteney St,Corning,14830,unionchillny.com
Upstate Canna Co,1613 Union St,Schenectady,12309,upstate-canna.co
Upstate Exotics,9200 Niagara Falls Blvd,Niagara Falls,14304,upstateexotics716.com
Upstate Haze**,1280 Dryden Rd,Ithaca,14850,upstatehaze.com
Upstate Pines,7345 South Broadway,Red Hook,12571,upstatepines.com
Urban Leaf,977 2nd Ave,New York,10022,urbanleafny.com
Urban Weeds,31-35 Steinway St,Astoria,11103,urbanweedsny.com
Valley Greens,939 Central Ave,Peekskill,10566,valleygreensny.com
Vaporize,124-20 Liberty Ave,South Richmond Hill,11419,vaporizeny.com
VedaLeaf,2921 Erie Blvd E,Syracuse,13224,vedaleaf.com
Verdi Park Slope,360 7th Ave,Brooklyn,11215,verdicannabis.com
Vereleaf,383 8th Ave,New York,10001,Website coming soon
Verilife Albany,2 Wade Rd,Latham,12110,verilife.com/ny
Verilife East Syracuse,5841 Bridge St, Ste 100,East Syracuse,13057,verilife.com/ny/locations/east-syracuse
Village One Stop,11 Commercial St,Angola,14006,Website coming soon
Waterman's Greenhouse (dba Greenside Cannabis)**,12317 Vaughn St,East Concord,14055,greensidecannabis.com
Weed Mart by New Metro,221-50 Horace Harding Expy,Bayside,11364,newmetro.club
Weedside,50-22 72nd St,Woodside,11378,weedsideny.com
White Atmoss,136 Lake St Ste 2,Newburgh,12550,whiteatmoss.com
WhiteboxTHC, LLC (dba Lenox Hill Cannabis Co.),334 E 73rd St,New York,10021,lenoxhillcannabis.com
Wicked Reserve Dispensary,1150 University Ave, Bldg 5, Ste 7,Rochester,14607,wickedreservedispensary.com
Wild Flower Dispensary,41 E Genesee St,Auburn,13021,nywildflower.com
Wilde Roots,4179 State Route 20,Castleton,12033,wilderoots.com
William Jane Corporation,119-121 E State St,Ithaca,14850,williamjane420.com
Windy Hill Wellness,106 Main St,Greenwich,12834,windyhillwellness.com
Woodstock Oasis,2166 NY-17B,Bethel,12720,woodstockoasis.com
Yerba Buena,292 Atlantic Ave,Brooklyn,11201,yerbabuena.nyc
YESCA, LLC (dba Cannabis Depot),23171 Murrock Circle,Watertown,13601,cannabisdepot420.com
Yeti Canna,1385 Abbott Rd,Lackawanna,14218,yeticanna.com
Yeti Greenery,607 W 3rd St,Jamestown,14701,yetigreenery.com
ZenZest,2343 Forest Ave,Staten Island,10303,zenzest.com
ZenZest Queens,27206 Union Tpke,Queens,11040,zenzest.com
